Site_Name,Date,Sun_Alt,Deviation_From_Ideal,Regulus_Alt,Is_Visible,Visibility_Delta_Sec,Moon_Alt,Moon_Illum_%,Venus_Az,Venus_Alt,Mars_Az,Mars_Alt,Jupiter_Az,Jupiter_Alt,Neptune_Az,Neptune_Alt,Mars_Delta_Sec
Angkor Wat,2026-09-23,32.8949,39.3949,62.1835,False,N/A,-75.1495,86.1712,109.4811,-2.7461,331.8411,80.6321,79.0530,73.5771,277.7170,-29.6736,1136.0000
Chichen Itza (El Castillo),2026-09-23,-64.2904,57.7904,-55.4054,False,N/A,45.6818,87.1657,262.6318,-45.3844,48.8329,-28.9190,34.2072,-46.6279,135.9354,62.1872,7026.0000
Great Sphinx of Giza,2026-09-23,-5.5405,0.9595,24.2769,True,783.0000,-37.7290,86.7857,89.8811,-42.3872,96.2299,57.0952,91.6823,36.2331,265.0849,8.3966,2656.0000
Stonehenge,2026-09-23,-35.2665,28.7665,-13.2694,False,N/A,1.5166,86.2623,343.9616,-57.6142,71.5214,13.0345,58.5680,-3.7892,204.6177,36.1270,N/A
Teotihuacan (Avenue of the Dead),2026-09-23,-62.6782,56.1782,-57.4225,False,N/A,48.5541,87.2877,260.8929,-41.8219,46.6187,-32.1489,30.2799,-49.3108,129.0828,60.3098,7284.0000
Angkor Wat,2026-09-24,31.9277,38.4277,62.1830,False,N/A,-64.0277,92.3365,109.6362,-3.0685,334.7925,80.9967,79.3197,73.4044,277.7123,-29.7006,985.0000
Chichen Itza (El Castillo),2026-09-24,-64.0654,57.5654,-55.4055,False,N/A,55.6259,93.1143,262.2535,-45.1523,48.4795,-29.4283,34.0316,-46.7728,135.9914,62.1950,6884.0000
Great Sphinx of Giza,2026-09-24,-6.5100,0.0100,24.2765,True,1052.0000,-25.2674,92.8187,90.0134,-42.7285,95.9959,56.5137,91.6474,36.0468,265.0879,8.3698,2571.0000
Stonehenge,2026-09-24,-35.9020,29.4020,-13.2697,False,N/A,11.7457,92.4084,343.3720,-57.7825,71.1240,12.5844,58.4489,-3.9357,204.6439,36.1098,N/A
Teotihuacan (Avenue of the Dead),2026-09-24,-62.3371,55.8371,-57.4226,False,N/A,57.8203,93.2087,260.5402,-41.5872,46.2338,-32.6479,30.0814,-49.4479,129.1335,60.3204,7140.0000
Angkor Wat,2026-09-25,30.9599,37.4599,62.1826,False,N/A,-51.8482,96.8765,109.7854,-3.3608,337.9725,81.3347,79.5792,73.2325,277.7076,-29.7276,834.0000
Chichen Itza (El Castillo),2026-09-25,-63.8082,57.3082,-55.4057,False,N/A,63.5931,97.3859,261.9027,-44.9446,48.1234,-29.9350,33.8561,-46.9165,136.0475,62.2027,6744.0000
Great Sphinx of Giza,2026-09-25,-7.4764,0.9764,24.2797,True,1320.0000,-12.4609,97.1947,90.1481,-43.0353,95.7718,55.9373,91.6150,35.8654,265.0931,8.3394,2489.0000
Stonehenge,2026-09-25,-36.5309,30.0309,-13.2699,False,N/A,22.2810,96.9244,342.8334,-57.9412,70.7289,12.1355,58.3306,-4.0812,204.6701,36.0926,N/A
Teotihuacan (Avenue of the Dead),2026-09-25,-61.9682,55.4682,-57.4228,False,N/A,64.4289,97.4464,260.2128,-41.3772,45.8455,-33.1440,29.8830,-49.5837,129.1842,60.3310,6996.0000
Chichen Itza (El Castillo),2026-11-03,-38.7084,32.2084,-55.4066,False,N/A,-53.6762,36.5839,274.7603,-53.7807,31.5996,-47.1024,27.6060,-51.3653,138.0845,62.4857,1934.0000
Great Sphinx of Giza,2026-11-03,-45.6503,39.1503,24.2734,False,N/A,27.9310,37.1841,88.6154,-31.0122,90.1478,34.8901,90.5352,29.8894,265.2171,7.3791,70.0000
Teotihuacan (Avenue of the Dead),2026-11-03,-35.1812,28.6812,-57.4238,False,N/A,-56.1177,36.3904,271.9743,-50.3963,27.4876,-49.6735,22.8048,-53.7343,131.0284,60.7187,2052.0000
Chichen Itza (El Castillo),2026-11-04,-37.8674,31.3674,-55.4068,False,N/A,-62.6973,26.5136,275.5238,-53.9491,31.0981,-47.4610,27.4733,-51.4459,138.1252,62.4911,1828.0000
Great Sphinx of Giza,2026-11-04,-46.6353,40.1353,24.2730,False,N/A,14.3899,27.0541,88.3704,-30.5782,90.0494,34.4027,90.5142,29.7753,265.2198,7.3599,23.0000
Teotihuacan (Avenue of the Dead),2026-11-04,-34.3316,27.8316,-57.4240,False,N/A,-63.9935,26.3397,272.6719,-50.5795,26.9242,-50.0086,22.6546,-53.8082,131.0654,60.7262,1942.0000
Chichen Itza (El Castillo),2026-11-05,-37.0220,30.5220,-55.4070,False,N/A,-67.4801,17.7047,276.2577,-54.0843,30.5929,-47.8145,27.3427,-51.5245,138.1652,62.4964,1723.0000
Great Sphinx of Giza,2026-11-05,-47.6168,41.1168,24.2761,False,N/A,1.3863,18.1640,88.1239,-30.1748,89.9544,33.9223,90.4957,29.6673,265.2245,7.3376,-22.0000
Teotihuacan (Avenue of the Dead),2026-11-05,-33.4783,26.9783,-57.4242,False,N/A,-66.8268,17.5573,273.3434,-50.7295,26.3565,-50.3382,22.5069,-53.8802,131.1016,60.7336,1834.0000
